4813,8929,t,\N,,\N,f,f,http://173.254.104.110/hml/images/hi-res/79775.jpg,f,2014-08-10 01:31:03.366105,2014-08-10 01:31:03.366105,79775,79775,\N,http://173.254.104.110/hml/images/preview/79775.jpg
5389,9415,t,\N,,\N,f,t,http://173.254.104.110/hml/images/thumb/87379.jpg,f,2014-08-10 06:56:28.079842,2014-08-11 22:49:48.144814,87379,87379,\N,http://173.254.104.110/hml/images/preview/87379.jpg
5417,9305,t,\N,,\N,f,t,http://173.254.104.110/hml/images/thumb/87408.jpg,f,2014-08-10 06:57:53.824879,2014-08-11 22:49:59.704271,87408,87408,\N,http://173.254.104.110/hml/images/preview/87408.jpg
5462,9169,t,\N,,\N,f,t,http://173.254.104.110/hml/images/thumb/87455.jpg,f,2014-08-10 07:00:11.656726,2014-08-11 22:50:17.053105,87455,87455,\N,http://173.254.104.110/hml/images/preview/87455.jpg
5518,9359,t,\N,B,\N,f,f,http://173.254.104.110/hml/images/hi-res/87522.jpg,f,2014-08-10 07:03:29.21172,2014-08-10 07:03:29.21172,87522,87522,\N,http://173.254.104.110/hml/images/preview/87522.jpg
5549,8955,t,\N,D,\N,f,f,http://173.254.104.110/hml/images/hi-res/87566.jpg,f,2014-08-10 07:09:55.024637,2014-08-10 07:09:55.024637,87566,87566,\N,http://173.254.104.110/hml/images/preview/87566.jpg
5606,9419,t,\N,A,\N,f,f,http://173.254.104.110/hml/images/hi-res/87642.jpg,f,2014-08-10 07:19:33.87283,2014-08-10 07:19:33.87283,87642,87642,\N,http://173.254.104.110/hml/images/preview/87642.jpg
5640,8603,t,\N,,\N,f,t,http://173.254.104.110/hml/images/thumb/87691.jpg,f,2014-08-10 07:22:49.323998,2014-08-11 22:51:18.521679,87691,87691,\N,http://173.254.104.110/hml/images/preview/87691.jpg
5641,8595,t,\N,,\N,f,t,http://173.254.104.110/hml/images/thumb/87692.jpg,f,2014-08-10 07:22:52.541642,2014-08-11 22:51:18.878938,87692,87692,\N,http://173.254.104.110/hml/images/preview/87692.jpg
5685,8316,t,\N,,\N,f,t,http://173.254.104.110/hml/images/thumb/87741.jpg,f,2014-08-10 07:25:05.854245,2014-08-11 22:51:35.911429,87741,87741,\N,http://173.254.104.110/hml/images/preview/87741.jpg
